"Qty","Component","Link","Price Individual (USD)","Price Sum (USD)"
"100","Diode","https://www.lcsc.com/product-detail/C917030.html?s_z=n_1N4148W","0.0057","0.57"
"50 (minimum)","866k Resistor","https://www.lcsc.com/product-detail/C1744629.html?s_z=n_resistor&spm=wm.fly.bg.0.xh___wm.ssy.ml.5-2-6.ent&lcsc_vid=FQVYUQZSEwBYXgdSQFYMBgJfEgcPAlFQFVNdX1VfFQAxVlNRQlBZU1NQQ1RaVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","0.0178","0.89"
"50 (minimum)","2M Resistor","https://www.lcsc.com/product-detail/C3565452.html?s_z=n_resistor&spm=wm.fly.bg.2.xh___wm.ssy.ml.5-2-6.ent&lcsc_vid=FQVYUQZSEwBYXgdSQFYMBgJfEgcPAlFQFVNdX1VfFQAxVlNRQlBZU1NQQ1RaVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","0.0346","0.69"
"1","Switches (90 KS33 Red)","https://www.aliexpress.com/item/1005006870413847","19.68","21.08"
"1","Hotswap Sockets","https://www.gateron.com/products/gateron-low-profile-switch-hot-swap-pcb-socket?VariantsId=10234","11.00","11.00"
"1","Stabilizers","https://www.gateron.com/products/gateron-low-profile-plate-mounted-stabilizer?VariantsId=10540","8.00","8.00"
"1","XIAO-nRF52840-SMD","https://www.seeedstudio.com/expresscheckout.htmll","9.90","9.90"
"1","MCP23017-E_SP","https://www.lcsc.com/product-detail/C647352.html?spm=wm.gwc.xh.3.cbm___wm.sxq.ssl.gwc&lcsc_vid=FQVYUQZSEwBYXgdSQFYMBgJfEgcPAlFQFVNdX1VfFQAxVlNRQlBZUlBWQlleVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","3.00","3.00"
"1","Heat set insert","https://core-electronics.com.au/brass-heat-set-inserts-for-plastic-m3-x-3mm-50-pack.html","Already owned","(8.39)"
"1","5mm M3 Screw","https://core-electronics.com.au/machine-screw-m3-5mm-length-phillips-25-pack.html","Already owned","(2.24)"
"1","1100mAh 3.7v LiPo Battery","https://core-electronics.com.au/polymer-lithium-ion-battery-1000mah-38458.html","5.96","5.96"
"1","Case Pieces","CAD/ZBoard-V1-Print.3mf","3D printing (220g filament)",""
"1","Keycap Set","CAD/ZBoard-V1-Print.3mf","3D printing<br>(70g filament)","(Total 3D printing: 4.61)"
"1","PCB","PCB/Gerbers.zip","","21.90"
"Shipping","","","","14.07+9.53+8.60+4.94+9.65=45.18"
"Total","","","","127.48 (132.15)"
