"Qty","Component","Link","Price Individual (USD)","Price Sum (USD)"
"100","Diode","https://www.lcsc.com/product-detail/C917030.html?s_z=n_1N4148W","0.0058","0.58"
"1","Switches (110 KS33 Chocolate)","https://www.gateron.com/products/gateron-ks-33-low-profile-20-chocolate-switch?VariantsId=11140","39.60","39.60"
"1","Hotswap Sockets","https://www.gateron.com/products/gateron-low-profile-switch-hot-swap-pcb-socket?VariantsId=10234","11.00","11.00"
"1","Stabilizers","https://www.gateron.com/products/gateron-low-profile-plate-mounted-stabilizer?VariantsId=10540","8.00","8.00"
"1","Orpheus Pico","Hack Club Flavourtown","Already owned","Already owned"
"1","Heat set insert","https://core-electronics.com.au/brass-heat-set-inserts-for-plastic-m3-x-3mm-50-pack.html","Already owned","(8.39)"
"1","5mm M3 Screw","https://core-electronics.com.au/machine-screw-m3-5mm-length-phillips-25-pack.html","Already owned","(2.24)"
"1","Case Pieces","CAD/ZBoard-V1-Print.3mf","3D printing (220g filament)",""
"1","Keycap Set","CAD/ZBoard-V1-Print.3mf","3D printing<br>(70g filament)","(Total 3D printing: 4.61)"
"1","PCB","PCB/production/ZBoard_V1.zip","","21.90"
"Shipping","","","","8.60+21.28+10.77=40.65"
"Total","","","","99.83"
