Designator,Mid X,Mid Y,Rotation,Layer
D1,33.3375,-23.8125,270.0,bottom
D10,66.675,-80.9625,270.0,bottom
D11,76.2,-100.0125,270.0,bottom
D12,61.9125,-119.0625,270.0,bottom
D13,71.4375,-23.8125,270.0,bottom
D14,71.4375,-42.8625,270.0,bottom
D15,80.9625,-61.9125,270.0,bottom
D16,85.725,-80.9625,270.0,bottom
D17,95.25,-100.0125,270.0,bottom
D18,85.725,-119.0625,270.0,bottom
D19,90.4875,-23.8125,270.0,bottom
D2,33.3375,-42.8625,270.0,bottom
D20,90.4875,-42.8625,270.0,bottom
D21,100.0125,-61.9125,270.0,bottom
D22,104.775,-80.9625,270.0,bottom
D23,114.3,-100.0125,270.0,bottom
D24,204.7875,-119.0625,270.0,bottom
D25,109.5375,-23.8125,270.0,bottom
D26,109.5375,-42.8625,270.0,bottom
D27,119.0625,-61.9125,270.0,bottom
D28,123.825,-80.9625,270.0,bottom
D29,133.35,-100.0125,270.0,bottom
D3,42.8625,-61.9125,270.0,bottom
D30,223.8375,-119.0625,270.0,bottom
D31,128.5875,-23.8125,270.0,bottom
D32,128.5875,-42.8625,270.0,bottom
D33,138.1125,-61.9125,270.0,bottom
D34,142.875,-80.9625,270.0,bottom
D35,152.4,-100.0125,270.0,bottom
D36,242.8875,-119.0625,270.0,bottom
D37,147.6375,-23.8125,270.0,bottom
D38,147.6375,-42.8625,270.0,bottom
D39,157.1625,-61.9125,270.0,bottom
D4,47.625,-80.9625,270.0,bottom
D40,161.925,-80.9625,270.0,bottom
D41,171.45,-100.0125,270.0,bottom
D42,261.9375,-119.0625,270.0,bottom
D43,166.6875,-23.8125,270.0,bottom
D44,166.6875,-42.8625,270.0,bottom
D45,176.2125,-61.9125,270.0,bottom
D46,180.975,-80.9625,270.0,bottom
D47,190.5,-100.0125,270.0,bottom
D48,280.9875,-119.0625,270.0,bottom
D49,185.7375,-23.8125,270.0,bottom
D5,57.15,-100.0125,270.0,bottom
D50,185.7375,-42.8625,270.0,bottom
D51,195.2625,-61.9125,270.0,bottom
D52,200.025,-80.9625,270.0,bottom
D53,209.55,-100.0125,270.0,bottom
D54,300.0375,-119.0625,270.0,bottom
D55,204.7875,-23.8125,270.0,bottom
D56,204.7875,-42.8625,270.0,bottom
D57,214.3125,-61.9125,270.0,bottom
D58,219.075,-80.9625,270.0,bottom
D59,228.6,-100.0125,270.0,bottom
D6,38.1,-119.0625,270.0,bottom
D60,319.0875,-119.0625,270.0,bottom
D61,223.8375,-23.8125,270.0,bottom
D62,223.8375,-42.8625,270.0,bottom
D63,233.3625,-61.9125,270.0,bottom
D64,238.125,-80.9625,270.0,bottom
D65,247.65,-100.0125,270.0,bottom
D66,242.8875,-23.8125,270.0,bottom
D67,242.8875,-42.8625,270.0,bottom
D68,252.4125,-61.9125,270.0,bottom
D69,257.175,-80.9625,270.0,bottom
D7,52.3875,-23.8125,270.0,bottom
D70,280.9875,-100.0125,270.0,bottom
D71,261.9375,-23.8125,270.0,bottom
D72,261.9375,-42.8625,270.0,bottom
D73,271.4625,-61.9125,270.0,bottom
D74,300.0375,-80.9625,270.0,bottom
D75,300.0375,-100.0125,270.0,bottom
D76,280.9875,-23.8125,270.0,bottom
D77,300.0375,-42.8625,270.0,bottom
D78,300.0375,-61.9125,270.0,bottom
D79,319.0875,-80.9625,270.0,bottom
D8,52.3875,-42.8625,270.0,bottom
D80,319.0875,-100.0125,270.0,bottom
D81,300.0375,-23.8125,270.0,bottom
D82,319.0875,-42.8625,270.0,bottom
D83,319.0875,-61.9125,270.0,bottom
D84,319.0875,-23.8125,270.0,bottom
D9,61.9125,-61.9125,270.0,bottom
SW1,23.8125,-23.8125,0.0,bottom
SW10,57.15,-80.9625,0.0,bottom
SW11,66.675,-100.0125,0.0,bottom
SW12,50.00625,-119.0625,0.0,bottom
SW13,61.9125,-23.8125,0.0,bottom
SW14,61.9125,-42.8625,0.0,bottom
SW15,71.4375,-61.9125,0.0,bottom
SW16,76.2,-80.9625,0.0,bottom
SW17,85.725,-100.0125,0.0,bottom
SW18,73.81875,-119.0625,0.0,bottom
SW19,80.9625,-23.8125,0.0,bottom
SW2,23.8125,-42.8625,0.0,bottom
SW20,80.9625,-42.8625,0.0,bottom
SW21,90.4875,-61.9125,0.0,bottom
SW22,95.25,-80.9625,0.0,bottom
SW23,104.775,-100.0125,0.0,bottom
SW24,145.25625,-119.0625,0.0,bottom
SW25,100.0125,-23.8125,0.0,bottom
SW26,100.0125,-42.8625,0.0,bottom
SW27,109.5375,-61.9125,0.0,bottom
SW28,114.3,-80.9625,0.0,bottom
SW29,123.825,-100.0125,0.0,bottom
SW3,28.575,-61.9125,0.0,bottom
SW30,214.3125,-119.0625,0.0,bottom
SW31,119.0625,-23.8125,0.0,bottom
SW32,119.0625,-42.8625,0.0,bottom
SW33,128.5875,-61.9125,0.0,bottom
SW34,133.35,-80.9625,0.0,bottom
SW35,142.875,-100.0125,0.0,bottom
SW36,233.3625,-119.0625,0.0,bottom
SW37,138.1125,-23.8125,0.0,bottom
SW38,138.1125,-42.8625,0.0,bottom
SW39,147.6375,-61.9125,0.0,bottom
SW4,30.95625,-80.9625,0.0,bottom
SW40,152.4,-80.9625,0.0,bottom
SW41,161.925,-100.0125,0.0,bottom
SW42,252.4125,-119.0625,0.0,bottom
SW43,157.1625,-23.8125,0.0,bottom
SW44,157.1625,-42.8625,0.0,bottom
SW45,166.6875,-61.9125,0.0,bottom
SW46,171.45,-80.9625,0.0,bottom
SW47,180.975,-100.0125,0.0,bottom
SW48,271.4625,-119.0625,0.0,bottom
SW49,176.2125,-23.8125,0.0,bottom
SW5,35.71875,-100.0125,0.0,bottom
SW50,176.2125,-42.8625,0.0,bottom
SW51,185.7375,-61.9125,0.0,bottom
SW52,190.5,-80.9625,0.0,bottom
SW53,200.025,-100.0125,0.0,bottom
SW54,290.5125,-119.0625,0.0,bottom
SW55,195.2625,-23.8125,0.0,bottom
SW56,195.2625,-42.8625,0.0,bottom
SW57,204.7875,-61.9125,0.0,bottom
SW58,209.55,-80.9625,0.0,bottom
SW59,219.075,-100.0125,0.0,bottom
SW6,26.19375,-119.0625,0.0,bottom
SW60,309.5625,-119.0625,0.0,bottom
SW61,214.3125,-23.8125,0.0,bottom
SW62,214.3125,-42.8625,0.0,bottom
SW63,223.8375,-61.9125,0.0,bottom
SW64,228.6,-80.9625,0.0,bottom
SW65,238.125,-100.0125,0.0,bottom
SW66,233.3625,-23.8125,0.0,bottom
SW67,233.3625,-42.8625,0.0,bottom
SW68,242.8875,-61.9125,0.0,bottom
SW69,247.65,-80.9625,0.0,bottom
SW7,42.8625,-23.8125,0.0,bottom
SW70,264.31875,-100.0125,0.0,bottom
SW71,252.4125,-23.8125,0.0,bottom
SW72,252.4125,-42.8625,0.0,bottom
SW73,261.9375,-61.9125,0.0,bottom
SW74,278.60625,-80.9625,0.0,bottom
SW75,290.5125,-100.0125,0.0,bottom
SW76,271.4625,-23.8125,0.0,bottom
SW77,280.9875,-42.8625,0.0,bottom
SW78,285.75,-61.9125,0.0,bottom
SW79,309.5625,-80.9625,0.0,bottom
SW8,42.8625,-42.8625,0.0,bottom
SW80,309.5625,-100.0125,0.0,bottom
SW81,290.5125,-23.8125,0.0,bottom
SW82,309.5625,-42.8625,0.0,bottom
SW83,309.5625,-61.9125,0.0,bottom
SW84,309.5625,-23.8125,0.0,bottom
SW9,52.3875,-61.9125,0.0,bottom
U3,332.75,-38.885,0.0,top
